full_name,age,gender,birthdate,contact_info,last_seen_location,additional_details,,final_image
Aryan Maharaj,6,Male,10-11-2019,9.18E+11,station,Wearing black clothes,,30982.png
Udant Dewan,59,Male,20-10-1966,9.17E+11,park,Medical condition: asthmatic,,25645.png
Gagan Sami,68,Female,12-06-1957,9.19E+11,bus stop,Carrying a phone,,46214.png
Ayushman Chander,51,Female,10-04-1974,9.19E+11,market,Medical condition: allergic,,22821.png
Viraj Tiwari,26,Male,18-05-1999,9.16E+11,market,Carrying a phone,,29921.png
Rushil Saini,60,Male,11-11-1965,9.18E+11,park,Wearing black clothes,,30427.png
Saumya Mall,54,Male,20-08-1971,9.17E+11,market,Wearing green clothes,,31293.png
Nathaniel Sami,6,Female,03-11-2019,9.17E+11,bus stop,Has a unique tattoo,,28682.png
Arunima Dugal,21,Female,15-10-2004,9.18E+11,station,Medical condition: none,,41420.png
Gayathri Chaudry,71,Male,07-12-1954,9.20E+11,bus stop,Medical condition: asthmatic,,15685.png
Lajita Chatterjee,61,Female,01-07-1964,9.17E+11,park,Medical condition: none,,46765.png
Hemangini Lalla,36,Female,24-01-1989,9.18E+11,station,Wearing black clothes,,21959.png
Tripti Yadav,61,Female,03-09-1964,9.19E+11,station,Carrying a bag,,38469.png
Kritika Brar,66,Male,04-10-1959,9.17E+11,school,Medical condition: none,,41777.png
Janaki Handa,10,Female,27-10-2015,9.17E+11,station,Has a scarred tattoo,,12522.png
Chakradev Kari,73,Female,29-12-1952,9.16E+11,market,Carrying a bag,,40589.png
Fariq Kaul,67,Female,16-04-1958,9.19E+11,station,Wearing blue clothes,,29554.png
Lajita Mall,80,Female,18-01-1945,9.16E+11,station,Has a scarred tattoo,,35191.png
Janya Gaba,17,Female,17-07-2008,9.19E+11,market,Medical condition: asthmatic,,08462.png
Isha Kadakia,23,Male,19-05-2002,9.17E+11,market,Has a large tattoo,,43874.png
Ekbal Garg,67,Female,12-11-1958,9.18E+11,bus stop,Wearing green clothes,,28898.png
Nihal Shere,73,Male,07-12-1952,9.19E+11,bus stop,Wearing red clothes,,53742.png
Anamika Kanda,37,Female,19-08-1988,9.19E+11,station,Wearing green clothes,,50156.png
Daksh Karnik,55,Male,16-07-1970,9.18E+11,park,Medical condition: allergic,,04301.png
Diya Rattan,53,Female,06-11-1972,9.20E+11,bus stop,Medical condition: none,,06533.png
Dominic Kakar,31,Female,02-11-1994,9.19E+11,school,Wearing green clothes,,24271.png
Simon Tata,38,Male,31-03-1987,9.19E+11,school,Has a scarred tattoo,,35270.png
Tara Dhar,39,Male,24-01-1986,9.17E+11,market,Has a small tattoo,,32402.png
Liam Koshy,6,Male,28-10-2019,9.19E+11,school,Wearing blue clothes,,44035.png
Priya Rastogi,47,Male,26-10-1978,9.18E+11,station,Has a small tattoo,,23876.png
Theodore Devi,32,Male,24-02-1993,9.19E+11,bus stop,Medical condition: asthmatic,,34619.png
Gavin Batta,48,Female,03-10-1977,9.18E+11,park,Carrying a phone,,13826.png
Michael Dutta,30,Male,23-10-1995,9.18E+11,school,Has a large tattoo,,21234.png
Devansh Rajan,14,Female,22-08-2011,9.18E+11,park,Medical condition: none,,46362.png
Upadhriti Wadhwa,65,Female,10-01-1960,9.19E+11,market,Carrying a umbrella,,51188.png
Advay Contractor,76,Male,26-02-1949,9.19E+11,bus stop,Carrying a wallet,,42322.png
Harini Choudhury,49,Female,28-03-1976,9.18E+11,park,Medical condition: diabetic,,30038.png
